,Product_name,Amazon_link,Article_date,Product_desc
0,"
        Aries (Ram) March 21 – April 20

                    
",http://www.amazon.com/dp/B004BCXEF6/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|sale,"Mar 25, 2019","Aries Celebs: Victoria Beckham, Keira Knightley, Sarah Jessica Parker, Mariah Carey, Celine Dion, Lady Gaga, Emma WatsonHappy Aries season, y’all! The first of 12 zodiac signs, you'll recognize the ram for her goal-oriented dedication. The AstroTwins acknowledge her as a trailblazer and self-starter. The ram never begins a project she doesn't intend to finish. A well-rehearsed beauty regimen fits into her priorities, because although makeup may not rank in her top three to-dos, she can be a little self-centered. This, however, only benefits her in the long run."
1,L'Oréal Paris Voluminous Original Carbon Black Waterproof Mascara,http://www.amazon.com/dp/B0034E103K/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|sale,"Mar 25, 2019",Self-confident leading ladies like an Aries need to be fully equipped with winkworthy lashes! Shop the top-rated Voluminous Original mascara by L'Oréal to bolster thickness and amp up the volume.
2,OPI Nail Lacquer in Big Apple Red,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fshop.nordstrom.com%2Fs%2Fnurse-jamie-uplift-facial-massaging-beauty-roller%2F4699630&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","This sign loves to make a statement, and what better way than with red-hot nails? Swap softer hues for a brighter shade like Big Apple Red from OPI to show off your flashy side."
3,Nurse Jamie UpLift Facial Massaging Beauty Roller,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.sephora.com%3A443%2Fproduct%2Fbigger-bolder-brows-kit-P410748&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Roll like an Aries by experimenting with innovative beauty gadgets! This tool from Nurse Jamie will lift, revive, and tighten the skin with use over time. Simply roll the textured end of the tool on your face to instantly ignite an energizing and tightening sensation across your skin — it's like the gym for your face! "
4,Benefit Cosmetics Bigger & Bolder Brows Kit,http://www.amazon.com/dp/B06XRYQ1XB/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019","Striking a solid stance in both her look and her opinions, bold brows are a must for every Aries. This brow kit by Benefit Cosmetics includes all the tools she needs to trim, brush, and fill her brows to perfection. "
5,Mystic Moments Aries Essential Oil Blend,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fwww.ulta.com%2Fvenus-xl-2-pressed-powder-eyeshadow-palette%3FproductId%3Dpimprod2003026&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","An Aries can be known for their fiery temperament. This essential oil from Mystic Moments will help calm the passionate Aries, as well as provide relief for anyone with headaches."
6,"
        Taurus (Bull) April 20 – May 20

                    
",https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fshop.nordstrom.com%2Fs%2Fdior-vernis-gel-shine-long-wear-nail-lacquer%2F3717457&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019","Taurus Celebs: Adele, Donatella Versace, Cher, Gigi Hadid, Lena DunhamWe'd all like to be number one — but for the Taurus, it's not just a goal, it's a lifestyle. The bull is a symbol of power, a force not to be reckoned with on a bad day. Per the AstroTwins, she works hard for her money and her status, and she'll only accept what is worth the investment. Looking at her celebrity counterparts, it's easy to spot a Taurus based on their big personality."
7,Lime Crime Venus XL 2 Pressed Powder Eyeshadow Palette,https://go.redirectingat.com/?id=74968X1547195&xs=1&url=https%3A%2F%2Fshop.nordstrom.com%2Fs%2Fchanel-coco-mademoiselle-eau-de-parfum-spray%2F2826845&sref=https%3A%2F%2Fwww.bestproducts.com%2Fbeauty%2Fg2072%2Fbeauty-products-based-on-astrological-sign%2F,"Mar 25, 2019",A balance of bold classics and experimental ornamentation is perfect for a Taurus. Shop this all-in-one eyeshadow palette that's filled with all the tones an earthy Taurus needs to showcase the windows to her soul.
8,Dior Vernis Gel Shine & Long Wear Nail Lacquer,http://www.amazon.com/dp/B00I3VHKVK/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019",A barely-there nude nail is always a safe bet for the subtly reserved Taurus. This top-rated nail varnish by Dior has low-key mauve undertones and is an advanced formula that provides a glossy shine that lasts.
9,Chanel Coco Mademoiselle Eau De Parfum Spray,http://www.amazon.com/dp/B01M1NBFDD/?linkCode=xm2&tag=bp_links-20&ascsubtag=[artid|2089.g.2072[src|[ch|[lt|,"Mar 25, 2019",Classy is key for this sign! Shop Chanel Coco Mademoiselle perfume for a well-balanced scent of fresh floral and oriental exoticism — a 5-star-rated perfume at Nordstrom.
